Country/Region,Date,gr_infected_7,gr_infected_smoothed
China,2020-11-05,-0.0454659709819319,
China,2020-11-06,-0.0318770689079748,
China,2020-11-07,-0.0393165039842179,
China,2020-11-08,0.0034131314352443,
China,2020-11-09,-0.0738069010065571,
China,2020-11-10,-0.0393116578113209,
China,2020-11-11,-0.0436971530261777,
China,2020-11-12,-0.0707242796021676,
China,2020-11-13,-0.0506802213740205,
China,2020-11-14,-0.0738665562320405,
China,2020-11-15,-0.0766410200061202,
China,2020-11-16,-0.0382768211729573,
China,2020-11-17,-0.0745046234953212,
China,2020-11-18,-0.062287983192655,
China,2020-11-19,-0.0175556760193577,
China,2020-11-20,0.057563685300326,
China,2020-11-21,0.1259050871896925,
China,2020-11-22,0.129514480037038,
China,2020-11-23,0.1389249486703698,
China,2020-11-24,0.0641113300090516,
China,2020-11-25,0.1052966137610205,
China,2020-11-26,0.0331127170888838,
China,2020-11-27,0.0646710926375504,
China,2020-11-28,0.0373541247186064,
China,2020-11-29,0.1088625377361378,
China,2020-11-30,0.0218029443104208,
China,2020-12-01,-0.0004848894772037,
China,2020-12-02,0.0481081455462486,
China,2020-12-03,0.0244084171485392,
China,2020-12-04,0.0597851861515144,
China,2020-12-05,0.035973062684975,
China,2020-12-06,-0.0021050291031464,
China,2020-12-07,-0.0124533263121954,
China,2020-12-08,0.0134448751272333,
China,2020-12-09,0.0113712930651892,
China,2020-12-10,0.0280417286618832,
China,2020-12-11,-0.009867310437425,
China,2020-12-12,-0.0033760132770914,
China,2020-12-13,0.0126468736338958,
China,2020-12-14,-0.0059310814155391,
China,2020-12-15,0.0051844277301886,
China,2020-12-16,-0.018631336079206,
China,2020-12-17,0.0059119643011114,
China,2020-12-18,-0.0170168657815341,
China,2020-12-19,0.0524704421642057,
China,2020-12-20,-0.0099348504467542,
China,2020-12-21,0.0015315002540778,
China,2020-12-22,-0.0252465283734268,
China,2020-12-23,-0.0351742108067401,
China,2020-12-24,-0.011078220354256,
China,2020-12-25,-0.0164007226797329,
China,2020-12-26,-0.0046152302334319,
China,2020-12-27,0.0029698907320261,
China,2020-12-28,0.0011533663640501,
China,2020-12-29,-0.0349736900869107,
China,2020-12-30,-0.0109984068681112,
China,2020-12-31,-0.0124304149082845,
China,2021-01-01,-0.02839786903779,
China,2021-01-02,-0.0190112018752128,
China,2021-01-03,-0.024309041760533,
China,2021-01-04,0.0496520295341453,
China,2021-01-05,0.0014598528644493,
China,2021-01-06,0.0733027890295017,
China,2021-01-07,0.0823158607021823,
China,2021-01-08,0.025131443053965,
China,2021-01-09,0.0651320701970903,
China,2021-01-10,0.0086256752996911,
China,2021-01-11,0.022583610796393,
China,2021-01-12,0.1451466987529308,
China,2021-01-13,0.0334931160626166,
China,2021-01-14,0.0907966784930709,
China,2021-01-15,0.0473495577189633,
China,2021-01-16,0.0421450510898637,
China,2021-01-17,0.0615358185559093,
China,2021-01-18,0.0711665065441613,
China,2021-01-19,-0.0067897140664783,
China,2021-01-20,0.0301924613683364,
China,2021-01-21,0.0237209778586038,
China,2021-01-22,0.0349023269561583,
China,2021-01-23,0.0090883670350017,
China,2021-01-24,0.0345618567673355,
China,2021-01-25,-0.0700838186878631,
China,2021-01-26,-0.0332960276895023,
China,2021-01-27,-0.0217790666825129,
China,2021-01-28,-0.0651387398139935,
China,2021-01-29,-0.0412493820905232,
China,2021-01-30,-0.0392864211057595,
China,2021-01-31,-0.0960576237692397,
China,2021-02-01,-0.0735187325801257,
China,2021-02-02,-0.0839825406361064,
China,2021-02-03,-0.0872996807263992,
China,2021-02-04,-0.0855662939126954,
China,2021-02-05,-0.0449638227839734,
China,2021-02-06,-0.0895559929609817,
China,2021-02-07,-0.0647983063860467,
China,2021-02-08,-0.0433383419261694,
China,2021-02-09,-0.0522528371494218,
China,2021-02-10,-0.1021387695249917,
China,2021-02-11,-0.0462410557674179,
China,2021-02-12,-0.0684324173151225,
China,2021-02-13,-0.0718421002316359,
China,2021-02-14,-0.0543903603665403,
China,2021-02-15,-0.0619444610517604,
China,2021-02-16,-0.0781653321546794,
China,2021-02-17,-0.0492874924502027,
China,2021-02-18,-0.025982736581993,
China,2021-02-19,-0.0512842013996528,
China,2021-02-20,-0.0330205699265733,
China,2021-02-21,-0.0189437356038373,
China,2021-02-22,-0.0305850389125019,
China,2021-02-23,-0.0270428543932087,
China,2021-02-24,-0.0238238545084503,
China,2021-02-25,-0.0399716774541381,
China,2021-02-26,0.015912039393596,
China,2021-02-27,0.0290535085611238,
China,2021-02-28,0.0355901688414959,
China,2021-03-01,-0.0072052191541377,
China,2021-03-02,-0.043149485714976,
China,2021-03-03,0.0115191629636259,
China,2021-03-04,-0.0283934395434565,
China,2021-03-05,-0.0211214888335311,
China,2021-03-06,0.0376688817183983,
China,2021-03-07,0.0156512886216082,
China,2021-03-08,-0.0210496887383069,
China,2021-03-09,-0.0067655543364026,
China,2021-03-10,-0.0058385475849913,
China,2021-03-11,0.0146551806499057,
China,2021-03-12,0.1443318490734895,
China,2021-03-13,0.1081093859195887,
China,2021-03-14,-0.0234951509589064,
China,2021-03-15,0.0169871823291898,
China,2021-03-16,-0.059647179402829,
China,2021-03-17,-0.04125978136162,
China,2021-03-18,-0.0505609996390864,
China,2021-03-19,-0.0636479837476534,
China,2021-03-20,-0.0390380245789971,
China,2021-03-21,-0.0668313479597152,
China,2021-03-22,0.0029323229512954,
China,2021-03-23,0.0067814597075492,
China,2021-03-24,-0.0239526071235115,
China,2021-03-25,-0.0210346405878522,
China,2021-03-26,0.0971343900145733,
China,2021-03-27,0.0232262423097855,
China,2021-03-28,-0.0320089306668852,
China,2021-03-29,-0.0160741484251289,
China,2021-03-30,-0.0555688028311269,
China,2021-03-31,-0.0196248166517956,
China,2021-04-01,0.1264981763362429,
China,2021-04-02,0.1201622364341432,
China,2021-04-03,-0.0076665470019535,
China,2021-04-04,0.0507400309802696,
China,2021-04-05,0.0448032687313406,
China,2021-04-06,-0.0677461870749019,
China,2021-04-07,-0.0132458006214998,
China,2021-04-08,-0.0292561102411316,
China,2021-04-09,-0.0002332644465821,
China,2021-04-10,-0.0587260000156703,
China,2021-04-11,0.0553334632412216,
China,2021-04-12,-0.0250224541711552,
China,2021-04-13,0.004439610232654,
China,2021-04-14,-0.0488534868797442,
China,2021-04-15,-0.0163522584978,
China,2021-04-16,0.1103396882585407,
China,2021-04-17,0.0417429983893602,
China,2021-04-18,0.0378205791435679,
China,2021-04-19,-0.0256788871579338,
China,2021-04-20,-0.0191543879096778,
China,2021-04-21,-0.0938110683974814,
China,2021-04-22,0.0427089832691263,
China,2021-04-23,0.0017397484105321,
China,2021-04-24,-0.0466266322232795,
China,2021-04-25,-0.0225093526403685,
China,2021-04-26,-0.015766436328618,
China,2021-04-27,-0.0218009812220442,
China,2021-04-28,0.0180232169721188,
China,2021-04-29,0.0232791808264583,
China,2021-04-30,0.0076198825741233,
China,2021-05-01,-0.0053079909769998,
China,2021-05-02,-0.0282796693896916,
China,2021-05-03,-0.0168132963602615,
China,2021-05-04,-0.0353351498880128,
China,2021-05-05,-0.0571183234617149,
China,2021-05-06,-0.051924397499092,
China,2021-05-07,-0.0133746354394382,
China,2021-05-08,-0.03106200998488,
China,2021-05-09,-0.0375110649634129,
China,2021-05-10,0.0447743922341008,
China,2021-05-11,0.0467105865351005,
China,2021-05-12,-0.0570691118640886,
China,2021-05-13,-0.026604678353683,
China,2021-05-14,0.04926914955704,
China,2021-05-15,0.0847867509847237,
China,2021-05-16,0.0669941423242266,
China,2021-05-17,0.0153381258343112,
China,2021-05-18,-0.0207393151927912,
China,2021-05-19,-0.0353536037085798,
China,2021-05-20,0.0354524048682993,
China,2021-05-21,0.0121268932978646,
China,2021-05-22,0.0357911175979774,
China,2021-05-23,0.0172983823295462,
China,2021-05-24,0.0065016136003512,
China,2021-05-25,-0.0185270713683718,
China,2021-05-26,-0.0161801170708969,
China,2021-05-27,-0.0265574412958977,
China,2021-05-28,0.0363517388401026,
China,2021-05-29,-0.0440440937564755,
China,2021-05-30,0.0681811563603276,
China,2021-05-31,-0.0218972090476621,
China,2021-06-01,0.034400203436812,
China,2021-06-02,0.0125646081156376,
China,2021-06-03,0.0106360265930687,
China,2021-06-04,0.0245978599049294,
China,2021-06-05,0.058585818071333,
China,2021-06-06,-0.0136005642480374,
China,2021-06-07,0.0682608915145857,
China,2021-06-08,-0.0644875037626868,
