S,E,I,R,total_cases,time,eff_repr_number,gr_I
10997299.882802645,732.8510382615042,1108.4848698404367,859.7812892553158,1968.2661590957518,110,2.599404210497556,0.07158598040108566
10997106.498509327,785.3024396069617,1187.8352690448896,921.3637820242288,2109.199051069118,111,2.5993615541750295,0.07158455777197514
10996899.275291037,841.5059579722008,1272.8641206890338,987.3546303045005,2260.218750993534,112,2.5993158451644005,0.07158303332120619
10996677.223463321,901.7297168475836,1363.9775161582288,1058.0693036761133,2422.0468198343415,113,2.5992668651354394,0.07158139976470768
10996439.282661818,966.2609574177172,1461.6105484149991,1133.8458323515706,2595.456380766569,114,2.5992143801627505,0.07157964929785865
10996184.316808922,1035.4073954257735,1566.2293772799662,1215.0464183746262,2781.2757956545915,115,2.5991581396147807,0.07157777355836537
10995911.108724125,1109.4986734101858,1678.3334409103945,1302.0591615568467,2980.39260246724,116,2.5990978749641203,0.07157576358650397
10995618.354353154,1188.8879148787926,1798.4578236951093,1395.2999082740907,3193.757731969199,117,2.5990332985135844,0.0715736097825439
10995304.656589294,1273.953387416621,1927.1757914793366,1495.214231812708,3422.3900232920437,118,2.5989641020321907,0.0715713018611488
10994968.518658489,1365.100282179778,2065.1015057721424,1602.27955356156,3667.3810593337016,119,2.5988899552947466,0.07156882880255133
10994608.337037923,1462.7626177102866,2212.8929293749297,1717.0074149933457,3929.900344368274,120,2.5988105045183243,0.07156617880026572
10994222.39387571,1567.405276516079,2371.254936704369,1839.9459110697308,4211.200847774098,121,2.5987253706884754,0.07156333920510627
10993808.848877192,1679.5261833975978,2540.9426429696114,1971.6822964421956,4512.624939411806,122,2.5986341477675183,0.07156029646524598
10993365.730621021,1799.6586350682446,2722.764967304171,2112.8457766071742,4835.610743911344,123,2.5985364007767546,0.07155703606204322
10992890.927265827,1928.373791210919,2917.5884459499694,2264.1104970129613,5181.698942962929,124,2.5984316637439084,0.07155354244134204
10992382.176605606,2066.2833377375005,3126.341312647156,2426.198744010182,5552.540056657337,125,2.598319437506519,0.07154979893993119
10991837.055429338,2214.042333672598,3350.017864500893,2599.8843724905796,5949.902236991472,126,2.598199187361399,0.07154578770682729
10991252.968137382,2372.3522537672297,3589.6831327776254,2785.9964760739626,6375.679608851587,127,2.5980703405496306,0.07154148961902296
10990627.134564223,2541.9642396618992,3846.477879330686,2985.4233167838306,6831.901196114515,128,2.5979322835659007,0.07153688419132354
10989956.576953866,2723.682573161214,4121.623940670372,3199.116532302202,7320.740472972573,129,2.5977843592802383,0.07153194947986097
10989238.10603085,2918.3683859524535,4416.429943078661,3428.0956401172225,7844.525583195884,130,2.5976258638594714,0.07152666197885593
10988468.3061063,3126.94362089678,4732.297413624977,3673.452859177148,8405.750272802125,131,2.5974560434749243,0.07152099651016464
10987643.519154644,3350.39526084163,5070.727313467842,3936.3582710452024,9007.085584513045,132,2.597274090782026,0.07151492610512511
10986759.827792812,3589.7798417432377,5433.3270214284885,4218.065344015638,9651.392365444128,133,2.5970791411566303,0.07150842187817563
10985813.037089553,3846.2282677451653,5821.817797496332,4519.91684520611,10341.734642702442,134,2.596870268671913,0.07150145289169507
10984798.655128311,4120.9509467271255,6238.042757671888,4843.35116728924,11081.393924961129,135,2.59664648179876,0.0714939860114745
10983711.872242648,4415.243265712013,6683.97539336841,5189.909098271011,11873.884491639421,136,2.5964067188115356,0.07148598575219611
10982547.538838563,4730.491426390247,7161.728670476321,5561.241064569256,12722.969735045577,137,2.596149842880095,0.07147741411225428
10981300.141713385,5068.1786618798005,7673.56474514029,5959.114879595719,13632.679624736009,138,2.5958746368277845,0.07146823039721872
10979963.77877592,5429.891856676525,8221.905335301688,6385.424032103512,14607.329367405202,139,2.595579797534091,0.07145839103119123
10978532.132067608,5817.32859254888,8809.34278911161,6842.1965507313835,15651.539339842995,140,2.5952639299594056,0.07144784935526949
10976998.43897925,6232.304643877955,9438.651893411818,7331.604483459806,16770.256376871625,141,2.594925540768204,0.07143655541228755
10975355.461552685,6676.761946618681,10112.802467600512,7855.974033093796,17968.77650069431,142,2.594563031525729,0.07142445571694944
10973595.453751622,7152.777065638861,10834.972790331425,8417.796392404935,19252.769182736363,143,2.5941746914420265,0.07141149301042993
10971710.126580523,7662.570185652805,11608.563908619632,9019.739325201124,20628.30323382076,144,2.593758689635957,0.07139760599846823
10969690.610925352,8208.51465127518,12437.214881022714,9664.659542346659,22101.874423369376,145,2.5933130668905724,0.07138272907192156
10967527.417984923,8793.14708184236,13324.819008604285,10355.615924625698,23680.434933229986,146,2.5928357268700175,0.07136679200870932
10965210.397156794,9419.1780865414,14275.541109335269,11095.883647325936,25371.42475666121,147,2.592324426766943,0.07134971965600956
10962728.691237075,10089.503605002821,15293.835893407939,11888.969264511228,27182.80515791917,148,2.5917767673482635,0.07133143159153321
10960070.688789472,10807.216897797176,16384.4674985824,12738.626814145002,29123.094312727404,149,2.5911901823660197,0.07131184176263794
10957223.973535221,11575.62121016293,17552.53024610078,13648.875008510691,31201.405254611476,150,2.5905619272991545,0.07129085810200686
10954175.270612717,12398.243130711779,18803.47067882737,14624.015577738512,33427.486256565884,151,2.5898890673911374,0.07126838211855402
10950910.389553567,13278.846664723214,20143.110944029395,15668.652837673366,35811.763781702764,152,2.589168464947691,0.07124430846218499
10947414.163820833,14221.448038857956,21577.673583517266,16787.71455678611,38365.38814030338,153,2.58839676585841,0.07121852446099397
10943670.386755483,15230.331250581454,23113.80779361506,17986.47420031485,41100.28199392991,154,2.5875703853057983,0.07119090962944274
10939661.743779011,16310.064371171504,24758.61721651749,19270.574633293465,44029.19184981096,155,2.5866854926253424,0.07116133514603296
10935369.740703823,17465.516605749523,26519.689322876424,20646.05336754444,47165.74269042086,156,2.585737995280676,0.07112966329896842
10930774.628008993,18701.87610716747,28405.12644279666,22119.369441037572,50524.49588383423,157,2.5847235219187654,0.0710957468982798
10925855.320947539,20024.66853262698,30423.578498635034,23697.43202119294,54121.01051982797,158,2.5836374044714527,0.07105942865289516
10920589.315363022,21439.77632240837,32584.277487891268,25387.630826672663,57971.90831456393,159,2.582474659271722,0.0710205405111426
10914952.599108446,22953.45866882794,34897.07375783054,27197.868464888845,62094.942222719386,160,2.5812299671558083,0.07097890296320797
10908919.558979912,24572.37213028076,37372.47410503336,29136.59478476832,66509.06888980168,161,2.579897652525846,0.07093432430412205
10902462.883101594,26303.591829697838,40021.681722542766,31212.84334615906,71234.52506870183,162,2.5784716613523737,0.07088659985592471
10895553.458728459,28154.63315865986,42856.63800435194,33436.27010852255,76292.90811287449,163,2.5769455381016915,0.07083551114775721
10888160.26546916,30133.4738874463,45890.06620128834,35817.19444209766,81707.26064338599,164,2.575312401580145,0.07078082505278105
10880250.263974981,32248.576557115706,49135.51690350345,38366.642564391455,87502.15946789489,165,2.5735649196958996,0.07072229288098075
10871788.28019225,34508.911001940265,52607.415302326786,41096.39350347498,93703.80880580176,166,2.5716952831490607,0.07065964942714964
10862736.885336593,36923.97681876283,56321.11015769885,44019.02768693758,100340.13784463643,167,2.569695178073152,0.07059261197361688
10853056.271818824,39503.82556369334,60292.924366221254,47147.978251254186,107440.90261747543,168,2.5675557576653985,0.07052087924760975
10842704.125435453,42259.08241558517,64540.206988466234,50497.5851604887,115037.79214895492,169,2.565267612860121,0.07044413033355035
10831635.494233165,45200.966999490716,69081.3865519332,54083.15221540349,123164.53876733668,170,2.5628207421192215,0.07036202354105425
10819802.654567556,48341.31301135185,73936.02539724068,57921.00702384422,131857.03242108488,171,2.560204520436519,0.07027419522996858
10807154.975003464,51692.5862271083,79124.87477906421,62028.563990357594,141153.43876942177,172,2.5574076676789073,0.07018025859444132
10793638.778849013,55267.900414807766,84669.93036920112,66424.39036697228,151094.32073617337,173,2.5544182164173446,0.07007980240878786
10779197.20627953,59081.0305968281,90594.48773615298,71128.27538748345,161722.7631236364,174,2.551223479434905,0.06997238973881248
10763770.077192422,63146.42303070054,96923.19729293621,76161.3024839364,173084.49977687257,175,2.5478100171378872,0.06985755662325666
10747293.756141517,67479.20119108673,103682.11811162576,81545.92455576618,185228.0426673919,176,2.5441636051396994,0.0697348107312401
10729701.02093059,72095.16694219086,110898.76989858203,87306.04222863428,198204.81212721628,177,2.5402692023362494,0.06960363000287773
10710920.936702138,77010.79598945346,118602.18230762915,93467.08500077773,212069.26730840682,178,2.5361109198462377,0.06946346128177949
10690878.737639885,82243.226592194,126822.94063893781,100056.09512897936,226879.0357679171,179,2.5316719912503247,0.06931371894983984
10669495.718712516,87810.24040567971,135593.22682843584,107101.8140533648,242695.04088180058,180,2.526934744629905,0.06915378357663893
10646689.140221776,93730.2342030198,144946.8544758116,114634.771099389,259581.62557520054,181,2.5218805769792696,0.06898300059788953
10622372.148279838,100022.18110591485,154919.2964884199,122687.37412582299,277606.6706142428,182,2.5164899316442444,0.06880067903972686
10596453.714726893,106705.57983080012,165547.70373379043,131294.00170851298,296841.7054423033,183,2.5107422795259366,0.06860609030822062
10568838.60040792,113800.39033615717,176870.9128955286,140491.09636039022,317362.00925591873,184,2.504616104879438,0.06839846706630559
10539427.346153447,121326.95414136976,188929.44151726022,150317.2581879196,339246.6997051797,185,2.4980888966337904,0.06817700222339074
10508116.296247145,129305.89748202366,201765.467998616,160813.33827221184,362578.8062708278,186,2.4911371462601655,0.06794084806619782
10474797.659606047,137758.0153765803,215422.79407856922,172022.53093880162,387445.3250173708,187,2.4837363533187475,0.06768911556286183
10439359.614337036,146704.1346116322,229946.787108162,183990.46394316657,413937.25105132855,188,2.4758610399195167,0.06742087387602802
10401686.461754048,156164.95361546084,245384.29918131305,196765.28544917557,442149.5846304886,189,2.467484775435593,0.0671351501244919
10361658.83632869,166160.8571916912,261783.5599648116,210397.74651480408,472181.3064796157,190,2.458580212907301,0.06683092943685542
10319153.978384819,176711.70413716196,279194.03985405754,224941.27762396028,504135.3174780178,191,2.44911913866686,0.0665071553446146
10274046.076612843,187836.58588275968,297666.2798885427,240452.05761585236,538118.3375043952,192,2.439072536793454,0.06616273056595734
10226206.687647315,199553.554486219,317251.68470124836,256989.07316521584,574240.7578664643,193,2.4284106700711567,0.06579651823525046
10175505.239992332,211879.31858615877,338002.2746617767,274614.1667597296,612616.4414215065,194,2.4171031791618036,0.0654073436365481
10121809.629461395,224828.9063120652,359970.39331893076,293392.0709076061,653362.464226537,195,2.4051192017146237,0.06499399650235049
10064986.912985535,238415.2946509879,383208.3662714813,313390.42609199113,696598.7923634726,196,2.392427513106556,0.06455523394103668
10004904.107097875,252649.0054134577,407768.10771492234,334679.7797737401,742447.8874886626,197,2.3789966904332456,0.06408978405769417
9941429.096584028,267537.6687324089,433700.67114787793,357333.56353568024,791034.2346835583,198,2.364795301241743,0.06359635033322775
9874431.65765592,283085.5559812059,461055.74109674967,381428.0452661179,842483.7863628678,199,2.3497921183023958,0.06307361682533474
9803784.598522672,299293.08511806745,489881.0632544271,407042.2531048262,896923.3163592536,200,2.333956361449912,0.06252025425192276
9729365.01836119,316156.3027568432,520221.8111518864,434257.8677300722,954479.6788819588,201,2.3172579671728166,0.06193492701248049
9651055.683402589,333666.3487237448,552119.8884129266,463159.0794607325,1015278.9678736595,202,2.299667886188292,0.061316301195466494
9568746.516129743,351808.91047279385,585613.1668026722,493832.406594784,1079445.5733974564,203,2.2811584086989387,0.060663053609646855
9482336.190421352,370563.6764748787,620734.6616866081,526366.4714171547,1147101.133103763,204,2.2617035163848924,0.05997388186418706
9391733.821891453,389903.7995288386,657511.648179957,560851.730399744,1218363.3785797013,205,2.2412792594378415,0.05924751550593532
9296860.73869534,409795.3828155598,695964.7231904626,597380.1552986305,1293344.8784890934,206,2.2198641560957837,0.05848272820252953
9197652.313764084,430197.0033592079,736106.8207341556,636044.862142545,1372151.682876701,207,2.197439611197116,0.05767835093662854
9094059.834881308,451059.2892882896,777942.1903137297,676939.6855166648,1454881.875830395,208,2.1739903492542063,0.056833286149759576
8986052.384350814,472324.5688018054,821465.3507577236,720158.6960896497,1541624.0468473737,209,2.149504856471504,0.05594652274411516
8873618.695379771,493926.60992634523,866660.0346732399,765795.6600206343,1632455.6946938748,210,2.123975825030572,0.05501715181757638
